	term	in_umls	rank
2082	qualité générale	0	0.4464
2083	ressource conchylicole	0	0.4464
2084	référentiels nationaux	0	0.4464
2085	site envlit	0	0.4464
2086	absence de hiérarchisation	0	0.4444
2087	absorption de chaleur	0	0.4444
2088	acquisition de paramètres	0	0.4444
2089	année de captage	0	0.4444
2090	baie de vilaine	0	0.4444
2091	bateaux	1	0.4444
2092	bouchot du nord	0	0.4444
2093	choix des sites	0	0.4444
2094	correspondant aux sites	0	0.4444
2095	dimensions des moules	0	0.4444
2096	disponibilité des données	0	0.4444
2097	données d'entrée	0	0.4444
2098	durée du suivi	0	0.4444
2099	détection de maladie	0	0.4444
2100	détection de maladies	0	0.4444
2101	elevage sur bouchot	0	0.4444
2102	elevage sur corde	0	0.4444
2103	expérience du réseau	0	0.4444
2104	fiche de métadonnée	0	0.4444
2105	globe en fonction	0	0.4444
2106	hiérarchisation des maladies	0	0.4444
2107	huîtres creuses disponible	0	0.4444
2108	loix en ré	0	0.4444
2109	lots de naissain	0	0.4444
2110	mortalité des moules	0	0.4444
2111	moules sur bouchot	0	0.4444
2112	nord au sud	0	0.4444
2113	parallèles des conditions	0	0.4444
2114	pays de loire	0	0.4444
2115	permanence	0	0.4444
2116	richesse des microalgues	0	0.4444
2117	site à risque	0	0.4444
2118	sites de suivi	0	0.4444
2119	sites du rescoii	0	0.4444
2120	suite au resco	0	0.4444
2121	suivis de mortalités	0	0.4444
2122	taux de mortalité	1	0.4444
2123	un des sites	0	0.4444
2124	agents infectieux	0	0.4319
2125	agents pathogènes	0	0.4319
2126	analyses spécifiques	0	0.4319
2127	ancien réseau	0	0.4319
2128	appelée absorption	0	0.4319
2129	ateliers nationaux	0	0.4319
2130	bactériologie classique	0	0.4319
2131	carte régionale	0	0.4319
2132	cf image	0	0.4319
2133	chaleur océanique	0	0.4319
2134	conditions environnementales	0	0.4319
2135	contenu massique	0	0.4319
2136	contenu total	0	0.4319
2137	croissance printanière	0	0.4319
2138	différents types	0	0.4319
2139	dilatation thermique	0	0.4319
2140	données gravimétriques	0	0.4319
2141	déséquilibre énergétique	0	0.4319
2142	détection éventuelle	0	0.4319
2143	engraissement estival	0	0.4319
2144	fichier netcdf	0	0.4319
2145	fréquence bi-mensuelle	0	0.4319
2146	indicateur déséquilibre	0	0.4319
2147	indicateur ohc	0	0.4319
2148	indicateurs ohc	0	0.4319
2149	laboratoire spécifiques	0	0.4319
2150	laboratoires environnement	0	0.4319
2151	littoral atlantique	0	0.4319
2152	lots moribonds	0	0.4319
2153	maladie exotique	0	0.4319
2154	maladies exotiques	0	0.4319
2155	maturation hivernale	0	0.4319
2156	mesures altimétriques	0	0.4319
2157	mikrocytos mackini	0	0.4319
2158	national mytilobs	0	0.4319
2159	niveau européen	0	0.4319
2160	ouest cotentin	0	0.4319
2161	paramètres environnementaux	0	0.4319
2162	parasite mikrocytos	0	0.4319
2163	pertuis charentais	0	0.4319
2164	pleine eau	0	0.4319
2165	principales regions	0	0.4319
2166	principales saisons	0	0.4319
2167	propres indicateurs	0	0.4319
2168	périodes principales	0	0.4319
2169	regions mytilicoles	0	0.4319
2170	reseau national	0	0.4319
2171	réseau resco	0	0.4319
2172	seul fichier	0	0.4319
2173	signaux inférieurs	0	0.4319
2174	site filiere	0	0.4319
2175	temps initial	0	0.4319
2176	variations temporelles	0	0.4319
2177	vie biologique	0	0.4319
2178	éventuelles maladies	0	0.4319
2179	administration	1	0.4124
2180	banque	0	0.4124
2181	interprétation	0	0.4124
2182	microbiologie	1	0.4124
2183	outils	0	0.4124
2184	panoplie	0	0.4124
2185	ressource	0	0.4124
2186	sandre	0	0.4124
2187	secrétariat	0	0.4124
2188	sie	0	0.4124
2189	titre	0	0.4124
2190	élaboration	0	0.4124
2191	élément	1	0.4124
2192	absence	0	0.4
2193	absorption	1	0.4
2194	aiguillon	0	0.4
2195	altimétrie-gravimétrie	0	0.4
2196	bactériologie	1	0.4
2197	captage	0	0.4
2198	carte	0	0.4
2199	classe	0	0.4
2200	commercialisation	1	0.4
2201	concertation	1	0.4
2202	corde	0	0.4
2203	correspondant	0	0.4
2204	création	1	0.4
2205	différences	0	0.4
2206	dilatation	1	0.4
2207	dimensions	0	0.4
2208	disponibilité	0	0.4
2209	dérivée	0	0.4
2210	déséquilibre	1	0.4
2211	eei	0	0.4
2212	engraissement	0	0.4
2213	entrée	1	0.4
2214	expérience	0	0.4
2215	fiche	0	0.4
2216	globe	0	0.4
2217	hiérarchisation	0	0.4
2218	infection	1	0.4
2219	introduction	0	0.4
2220	loix	0	0.4
2221	maladie	1	0.4
2222	microalgues	1	0.4
2223	mikrocytos	0	0.4
2224	mortalités	0	0.4
2225	métadonnée	0	0.4
2226	naissain	0	0.4
2227	naissains	0	0.4
2228	nord	0	0.4
2229	parallèles	0	0.4
2230	passage	0	0.4
2231	pays	0	0.4
2232	poids	1	0.4
2233	profession	1	0.4
2234	regions	0	0.4
2235	remora	0	0.4
2236	resco	0	0.4
2237	rescoii	0	0.4
2238	reseau	0	0.4
2239	richesse	0	0.4
2240	risque	1	0.4
2241	ré	0	0.4
2242	saisons	1	0.4
2243	secteur	0	0.4
2244	sonde	1	0.4
2245	structure	0	0.4
2246	taux	0	0.4
2247	transparence	0	0.4
2248	vente	0	0.4
2249	vie	1	0.4
2250	vilaine	0	0.4
2251	vis	0	0.4
2252	vivier	0	0.4
2253	x3	0	0.4
2254	élevage	1	0.4
2255	phycotoxines	0	0.3998
2256	conditions	0	0.3861
2257	capacités d'une flotte	0	0.3598
2258	gliders pour les observations	0	0.3598
2259	flotte de gliders	0	0.3554
2260	initiative de everyone's	0	0.3554
2261	partenaires d'ego	0	0.3554
2262	systèmes d'observation	0	0.3554
2263	utilisation des gliders	0	0.3554
2264	équipes d'océanographes	0	0.3554
2265	coquillages dans un réseau	0	0.3489
2266	déclenchement de la recherche	0	0.3489
2267	phycotoxines dans les organismes	0	0.3489
2268	prélevement de l'échantillon	0	0.3489
2269	toxines sur les lieux	0	0.3489
2270	différents sites	0	0.3473
2271	fins diverses	0	0.3473
2272	objectif scientifique	0	0.3473
2273	observation existants	0	0.3473
2274	observations océaniques	0	0.3473
2275	organismes européens	0	0.3473
2276	petits véhicules	0	0.3473
2277	robotiques autonomes	0	0.3473
2278	sous-marins robotiques	0	0.3473
2279	véhicules sous-marins	0	0.3473
2280	association entre lieux	0	0.3447
2281	ensemble du littoral	0	0.3447
2282	lieu de prélevement	0	0.3447
2283	nombre de lieux	0	0.3447
2284	paramètre de concentration	0	0.3447
2285	prélèvements de coquillages	0	0.3447
2286	recherche de toxines	0	0.3447
2287	réseau de lieux	0	0.3447
2288	résultats des bio-essais	0	0.3447
2289	surveillance des phycotoxines	0	0.3447
2290	types de coquillages	0	0.3447
2291	types de toxines	0	0.3447
2292	état de cause	0	0.3447
2293	analyses chimiques	0	0.3371
2294	divers types	0	0.3371
2295	modes variés	0	0.3371
2296	prélèvement rephytox	0	0.3371
2297	résultats rephy	0	0.3371
2298	toxines amnésiantes	0	0.3371
2299	toxines distincts	0	0.3371
2300	toxines paralysantes	0	0.3371
2301	actions	0	0.3264
2302	flottabilité	0	0.3264
2303	initiative	0	0.3264
2304	lacunes	0	0.3264
2305	membres	1	0.3264
2306	moteur	0	0.3264
2307	observatories	0	0.3264
2308	océanographes	0	0.3264
2309	rassemblement	0	0.3264
2310	robotiques	0	0.3264
2311	sous-marins	0	0.3264
2312	transit	0	0.3264
2313	véhicules	0	0.3264
2314	équipes	0	0.3264
2315	association	1	0.3173
2316	bio-essais	0	0.3173
2317	bouchots	0	0.3173
2318	cause	1	0.3173
2319	date	0	0.3173
2320	déclenchement	1	0.3173
2321	filières	0	0.3173
2322	modes	0	0.3173
2323	prélevement	0	0.3173
2324	rephytox-asp	0	0.3173
2325	rephytox-psp	0	0.3173
2326	support	1	0.3173
2327	tables	0	0.3173
2328	échantillon	0	0.3173
2329	hydrologie dans les eaux	0	0.3111
2330	fichiers de paramètres	0	0.3099
2331	cas de besoin	0	0.3077
2332	cellules par litre	0	0.3077
2333	concentration en chlorophylle	0	0.3077
2334	concentration en nutriments	0	0.3077
2335	flores phytoplanctoniques indicatrices	0	0.3077
2336	flores phytoplanctoniques partielle	0	0.3077
2337	flores phytoplanctoniques totales	0	0.3077
2338	masses d'eau	0	0.3077
2339	turbinité des masses	0	0.3077
2340	toxines lipophiles	0	0.3068
2341	besoin local	0	0.3017
2342	concentration supérieure	0	0.3017
2343	espèces phytoplanctoniques	0	0.3017
2344	espèces suivantes	0	0.3017
2345	espèces suivants	0	0.3017
2346	paramètres distincts	0	0.3017
2347	protoceratium reticulatum	0	0.3017
2348	seul genre	0	0.3017
2349	taxons présents	0	0.3017
2350	taxons supplémentaires	0	0.3017
2351	ammonium	1	0.2858
2352	cellules	1	0.2858
2353	chaîne	1	0.2858
2354	consommateur	0	0.2858
2355	contrainte	0	0.2858
2356	genre	1	0.2858
2357	genres	0	0.2858
2358	litre	1	0.2858
2359	masses	0	0.2858
2360	nitrate+nitrite	0	0.2858
2361	ostreopsis	0	0.2858
2362	phosphate	1	0.2858
2363	polyedra	0	0.2858
2364	protoceratium	0	0.2858
2365	présents	0	0.2858
2366	reticulatum	0	0.2858
2367	silicate	0	0.2858
2368	turbinité	0	0.2858
